"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1329","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 00:23:50","TRUE","7","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1330","DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames ","2020-12-15 00:23:45","FALSE","7","5","0","Apple iPhone","Los Angeles","USA",TRUE
"1331","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-15 00:23:02","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",FALSE
"1332","RT @saurik: Cydia just joined the legal battle against Apple: ""A new lawsuit brought by one of Apple's oldest foes seeks to force the iPhon","2020-12-15 00:18:43","TRUE","665","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1333","RT @iDownloadBlog: You can use Apple Fitness+ without an Apple Watch on iPhone ","2020-12-15 00:06:16","TRUE","1","0","0","Apple iPhone","Los Angeles","USA",FALSE
"1334","Good news: @Apple is planning to implement new anti-tracking features on iPhone. 

But theyve delayed the roll-out ","2020-12-14 23:56:09","FALSE","0","0","0","Apple iPhone","Los Angeles","USA",FALSE
"1335","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 23:48:20","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1336","I dont understand why @Apple does not support spatial audio on AirPods Pro with Apple TV 4K. Instead were suppose ","2020-12-14 23:42:09","FALSE","0","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1337","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 23:37:22","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1338","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 23:28:59","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1339","RT @videowatchr: Apple releases iOS 14.3 with ProRAW for iPhone 12 Pro, AirPods Max and Fitness+ support, more ","2020-12-14 23:19:34","TRUE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1340","Apple releases iOS 14.3 with ProRAW for iPhone 12 Pro, AirPods Max and Fitness+ support, more ","2020-12-14 23:19:22","FALSE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1341","My current set-up for Zooms  taken with my iPhone. @apple much?! covidlife wearamask ","2020-12-14 23:17:22","FALSE","0","1","0","Apple iPhone","Los Angeles","USA",FALSE
"1342","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 23:05:04","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1343","RT @saurik: Cydia just joined the legal battle against Apple: ""A new lawsuit brought by one of Apple's oldest foes seeks to force the iPhon","2020-12-14 22:55:46","TRUE","665","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1344","RT @JoshPNamm: Back Tap: Automate Your Life with this Handy iOS 14 Feature ","2020-12-14 22:53:03","TRUE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1345","Back Tap: Automate Your Life with this Handy iOS 14 Feature ","2020-12-14 22:49:47","FALSE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1346","RT @TrendCityShow: Who will be 1
DL our App to enter your VOTE NOW

Top40Voting

iPhone:","2020-12-14 22:36:22","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1347","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 22:34:40","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1348","Advertisers arent happy with @Apple over of its proposed anti-tracking features, which is why @Mozilla is thanking ","2020-12-14 22:31:17","FALSE","0","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1349","Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; ","2020-12-14 22:17:36","FALSE","4","3","2","Apple iPhone","Los Angeles","USA",TRUE
"1350","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 22:14:14","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1351","So it seems you dont need an Apple Watch to start a workout using your iPhone. However, I cannot find a workaround ","2020-12-14 22:03:14","FALSE","0","1","0","Apple iPhone","Los Angeles","USA",FALSE
"1352","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-14 21:59:13","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",TRUE
"1353","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 21:58:19","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1354","DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames ","2020-12-14 21:58:15","FALSE","0","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1355","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-14 21:57:59","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",TRUE
"1356","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-14 21:57:33","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"1357","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 21:56:03","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1358","You can use Apple Fitness+ without an Apple Watch on iPhone ","2020-12-14 21:53:46","FALSE","1","4","0","Apple iPhone","Los Angeles","USA",FALSE
"1359","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 21:44:38","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1360","RT @TheJammmin: stevejobs was a great man and his decisions today are articulating the future of technology.  Tech4All tech iPhone App","2020-12-14 21:37:41","TRUE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1361","stevejobs was a great man and his decisions today are articulating the future of technology.  Tech4All tech ","2020-12-14 21:32:45","FALSE","1","1","1","Apple iPhone","Los Angeles","USA",FALSE
"1362","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 21:24:00","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1363","RT @EmmettShort: iPhone 12 Pro Max Camera Review. Worth and UPGRADE? 
iPhone12 Apple iPhone12ProMax 
Watch: ","2020-12-14 21:22:48","TRUE","3","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1364","@jackstevenson77 @Apple @AppleTV I'm in the exact same boat! You'd think between the latest iPhone, Apple Watch, an ","2020-12-14 21:21:44","FALSE","0","1","0","Apple iPhone","Los Angeles","USA",FALSE
"1365","RT @benisphere: As excited as I was to try it, Apple Fitness+ is a non-starter. I don't own an iPad/Apple TV, so I have to use my iPhone.","2020-12-14 21:13:45","TRUE","1","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1366","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 21:07:12","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1367","As excited as I was to try it, Apple Fitness+ is a non-starter. I don't own an iPad/Apple TV, so I have to use my i ","2020-12-14 21:05:33","FALSE","1","7","1","Apple iPhone","Los Angeles","USA",FALSE
